date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,CFACPR,CFACSHR,OPENPRC,RETX
1981-08-05,AAPL,APPLE COMPUTER INC,03783310,25.875,26.0,-25.9375,,0.029777,56.0,56.0,,0.029777
1981-08-06,AAPL,APPLE COMPUTER INC,03783310,25.25,25.375,-25.3125,,-0.024096,56.0,56.0,,-0.024096
1981-08-07,AAPL,APPLE COMPUTER INC,03783310,25.25,25.375,-25.3125,,0.000000,56.0,56.0,,0.000000
1981-08-10,AAPL,APPLE COMPUTER INC,03783310,25.0,25.25,-25.125,,-0.007407,56.0,56.0,,-0.007407
1981-08-11,AAPL,APPLE COMPUTER INC,03783310,24.5,24.75,-24.625,,-0.019900,56.0,56.0,,-0.019900
1981-08-12,AAPL,APPLE COMPUTER INC,03783310,24.0,24.125,-24.0625,,-0.022843,56.0,56.0,,-0.022843
1981-08-13,AAPL,APPLE COMPUTER INC,03783310,23.25,23.375,-23.3125,,-0.031169,56.0,56.0,,-0.031169
1981-08-14,AAPL,APPLE COMPUTER INC,03783310,22.875,23.125,-23.0,,-0.013405,56.0,56.0,,-0.013405
1981-08-17,AAPL,APPLE COMPUTER INC,03783310,22.125,22.375,-22.25,,-0.032609,56.0,56.0,,-0.032609
1981-08-18,AAPL,APPLE COMPUTER INC,03783310,21.625,21.875,-21.75,,-0.022472,56.0,56.0,,-0.022472
1981-08-19,AAPL,APPLE COMPUTER INC,03783310,21.375,21.625,-21.5,,-0.011494,56.0,56.0,,-0.011494
1981-08-20,AAPL,APPLE COMPUTER INC,03783310,21.625,21.75,-21.6875,,0.008721,56.0,56.0,,0.008721
1981-08-21,AAPL,APPLE COMPUTER INC,03783310,20.125,20.375,-20.25,,-0.066282,56.0,56.0,,-0.066282
1981-08-24,AAPL,APPLE COMPUTER INC,03783310,18.875,19.0,-18.9375,,-0.064815,56.0,56.0,,-0.064815
1981-08-25,AAPL,APPLE COMPUTER INC,03783310,19.375,19.5,-19.4375,,0.026403,56.0,56.0,,0.026403
1981-08-26,AAPL,APPLE COMPUTER INC,03783310,19.0,19.125,-19.0625,,-0.019293,56.0,56.0,,-0.019293
1981-08-27,AAPL,APPLE COMPUTER INC,03783310,19.125,19.25,-19.1875,,0.006557,56.0,56.0,,0.006557
1981-08-28,AAPL,APPLE COMPUTER INC,03783310,20.125,20.25,-20.1875,,0.052117,56.0,56.0,,0.052117
1981-08-31,AAPL,APPLE COMPUTER INC,03783310,20.125,20.25,-20.1875,,0.000000,56.0,56.0,,0.000000
1981-09-01,AAPL,APPLE COMPUTER INC,03783310,21.375,21.5,-21.4375,,0.061920,56.0,56.0,,0.061920
1981-09-02,AAPL,APPLE COMPUTER INC,03783310,21.75,21.875,-21.8125,,0.017493,56.0,56.0,,0.017493
1981-09-03,AAPL,APPLE COMPUTER INC,03783310,20.625,20.875,-20.75,,-0.048711,56.0,56.0,,-0.048711
1981-09-04,AAPL,APPLE COMPUTER INC,03783310,20.375,20.5,-20.4375,,-0.015060,56.0,56.0,,-0.015060
